Date,00:00:00,00:15:00,00:30:00,00:45:00,01:00:00,01:15:00,01:30:00,01:45:00,02:00:00,02:15:00,02:30:00,02:45:00,03:00:00,03:15:00,03:30:00,03:45:00,04:00:00,04:15:00,04:30:00,04:45:00,05:00:00,05:15:00,05:30:00,05:45:00,06:00:00,06:15:00,06:30:00,06:45:00,07:00:00,07:15:00,07:30:00,07:45:00,08:00:00,08:15:00,08:30:00,08:45:00,09:00:00,09:15:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,SAXstring
2012-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.36400000000003,375.412004,374.154004,374.728002,378.296002,374.72200200000003,373.519996,373.697998,370.921998,372.1,376.201996,374.873994,355.799994,300.29999,300.29999,300.29999,300.29999,300.29999,269.369996,252.252,252.942,243.64600000000002,253.77399999999997,242.956,247.85399999999998,242.888,174.152,180.46999999999997,172.124,156.084,118.306,169.336,194.46999999999997,103.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abba
2012-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.2419998,203.808,194.94400000000002,101.29400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4139994,142.162,108.5579994,173.334,199.70200000000003,310.02,413.274,376.22800399999994,373.54999599999996,374.559998,368.726002,369.86399599999993,371.73799999999994,371.643994,375.27200200000004,371.052,378.43000599999993,371.87800200000004,372.33599999999996,374.959998,375.985998,374.524002,375.76200400000005,373.648002,378.174,383.18200199999995,364.497994,253.974,311.762,305.524,312.818,357.077992,355.51599799999997,275.17,295.42,266.812,254.144,243.038,165.65,99.9040006,115.94199900000001,93.78399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abba
2012-07-14,0.0,0.0,0.0,86.3899998,204.55200000000002,195.20999999999998,100.43599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.578,204.48600000000002,200.234,102.77599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.8319996,204.25799999999998,192.318,64.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aaaa
2012-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.466,204.154,199.392,131.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.739999999999995,201.39800000000002,193.502,95.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aaaa
2012-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.810000200000005,201.464,200.54,184.53599999999997,115.530001,88.9380002,15.2820008,0.0,167.6259996,271.656002,396.21199399999995,412.767994,493.24399800000003,432.42600000000004,428.58400199999994,417.188,408.464,324.41199800000004,412.652006,389.271998,376.78000000000003,376.42000199999995,374.018004,374.962,380.872002,372.42000399999995,384.49000000000007,372.567994,280.016002,256.768,260.424,260.856,279.71799999999996,306.61800000000005,305.826,302.17400000000004,285.054,290.31800000000004,293.186,254.47600000000003,251.302,242.46800000000002,187.088,90.81000019999999,86.89399900000001,121.02000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abba
2012-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.948,204.09599999999998,206.5,192.058,102.128,0.0,10.9379998,181.10999999999999,458.204004,431.461996,421.664002,412.908006,407.618,398.860008,392.7099999999999,396.20400200000006,400.21199399999995,385.04599799999994,363.971998,363.47799799999996,372.07599999999996,379.56800000000004,295.255998,272.94,282.36199999999997,249.7,249.074,240.006,236.208,202.5760008,258.614,291.17,244.792,249.544,262.84000000000003,257.59600000000006,249.07600000000002,259.22999999999996,219.038,250.234,208.608,107.71199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.61,143.638,186.378,64.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abba
2012-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.955999799999999,196.012,203.418,183.796,56.33399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.472,141.99000080000002,210.6480002,332.404004,451.57399999999996,465.632002,377.332,362.91999999999996,305.76600199999996,375.882,372.55400399999996,387.96799999999996,369.75600399999996,305.11199999999997,286.276,295.91400000000004,298.144,299.524,316.668,333.610002,296.824004,261.49799999999993,248.33199999999997,261.858,262.444,251.044,224.21999999999997,228.612,230.17399999999998,234.69399999999996,261.846,231.56599999999997,216.756,209.87600000000003,142.33800000000002,0.0,0.0,0.0,130.8959998,10.4879998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abba
2012-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.077999999999996,194.52399999999997,166.208,147.45600000000002,147.322,197.266,205.91799999999998,209.30599999999998,233.0500004,404.73200199999997,447.58600399999995,413.729994,402.672002,403.50800200000003,401.258002,394.46399599999995,382.86800000000005,379.794004,378.941998,377.48800400000005,387.005998,395.77200400000004,379.41599800000006,331.562,259.776,304.91400000000004,299.88800000000003,288.6,288.418,275.44399999999996,270.918,292.35600000000005,280.96799999999996,288.524,296.95200000000006,282.73800000000006,283.76,290.24799999999993,250.22000000000003,253.494,205.52399999999997,159.76,80.1459986,117.58399979999999,88.97200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abba
2012-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.482,187.28799999999998,191.002,164.98,147.19,170.788,216.108002,329.594,429.853996,394.65200000000004,387.45399999999995,391.971998,372.746006,374.284002,367.543996,380.43599800000004,380.66600200000005,378.167994,380.194,383.198002,383.072002,382.744,374.824,330.82000000000005,268.2900000000001,251.006,253.92000000000002,246.67600000000002,235.206,234.52799999999996,227.60999999999999,217.75,208.82,215.69400000000002,227.69400000000002,226.08,218.74399999999997,196.132,189.83800000000002,174.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.176,190.022,166.246,140.312,147.402,30.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abba
2012-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.422000000000004,201.02,178.482,116.65799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.91,195.286,163.02,55.998000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aaaa
