Date,00:00:00,00:15:00,00:30:00,00:45:00,01:00:00,01:15:00,01:30:00,01:45:00,02:00:00,02:15:00,02:30:00,02:45:00,03:00:00,03:15:00,03:30:00,03:45:00,04:00:00,04:15:00,04:30:00,04:45:00,05:00:00,05:15:00,05:30:00,05:45:00,06:00:00,06:15:00,06:30:00,06:45:00,07:00:00,07:15:00,07:30:00,07:45:00,08:00:00,08:15:00,08:30:00,08:45:00,09:00:00,09:15:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,SAXstring
2012-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.1139994,205.13,196.072,127.316,0.0,0.0,0.0,0.0,0.0,213.186,627.30398,556.004008,481.742,491.421998,474.538,482.049998,483.718,486.13,510.461998,300.803998,0.0,0.0,0.0,179.8639992,234.8760004,409.658,441.211998,631.098008,633.370006,634.666016,630.290004,589.818006,574.485986,581.462012,595.87599,598.488014,542.419996,515.774004,287.5079948,163.594,178.622,156.284,180.366,203.432,176.04,28.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.418,185.272,181.54,187.476,174.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.8980002,abca
2012-08-09,164.588,196.452,138.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.082,190.898,175.55,189.28,175.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1880008,255.958002,203.76,199.187998,87.1380004,159.246,204.522,193.29,146.394,0.0,0.0,0.0,0.0,0.0,0.0,123.3159998,177.896,184.644,175.394,102.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.888,221.05,250.742,220.624,195.358,209.536,202.686,194.344,196.448,192.552,38.544,0.0,123.6399996,203.716,287.294,234.864,221.52,206.098,241.562,241.294,232.87,236.714,232.383333333,91.309998,178.8720004,200.518,100.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.5019992,aaab
2012-08-29,0.0,125.95,205.852,185.128,173.646,202.014,178.784,144.132,166.378,85.934,0.0,0.0,0.0,37.3440006,203.162,196.708,169.748,202.946,174.492,163.184,0.0,0.0,0.0,58.418,204.37,202.248,195.14,318.626006,551.386004,602.826,618.988,636.724012,635.27399,636.690004,632.642006,634.342004,635.169996,634.74801,633.206008,631.245996,630.940002,630.862002,630.026,629.367994,652.797996,762.33601,710.752002,666.433996,664.608008,618.196002,625.905994,634.118006,634.581994,633.354004,632.049998,630.792016,626.345994,623.796006,625.240014,626.696006,590.68601,548.219996,562.0,546.85,591.477994,607.305992,609.838004,383.454,186.984,208.356,261.392,479.176,602.040002,485.003998,433.153998,426.165998,420.571998,416.994002,397.382,374.409998,375.859996,374.120002,257.7040002,83.7780008,163.734,199.476,101.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9660004,192.894,bccb
2012-09-04,497.259998,501.433998,503.628004,454.306,453.940004,447.662002,455.257996,446.908002,439.061998,440.726002,436.57,443.896,429.726,432.332,434.890002,439.452,440.538,428.702,430.342,428.768,441.194002,435.702002,439.408,440.186,441.136,451.373996,481.493998,483.050002,517.023994,531.933998,560.533996,618.935998,605.416004,620.648012,617.066002,606.645998,629.89,635.495984,633.192004,631.264014,630.854006,630.005994,627.886,629.36001,630.103978,629.066002,628.925998,630.215992,621.925988,604.147998,592.981994,600.694006,572.123986,556.090002,575.330006,581.076002,583.094006,582.310008,583.045984,599.372008,615.696004,609.383996,614.269994,616.05199,609.432006,591.631994,509.414,295.534,192.656,206.14,205.948,201.252,103.482,0.0,7.6,182.478,185.8780002,217.14,177.85,94.4419998,203.846,199.916,113.942,0.0,0.0,0.0,0.0,0.0,122.6140002,206.44,180.738,193.798,140.206,0.0,0.0,0.0,ccca
2012-11-04,0.0,0.0,0.0,0.0,0.0,170.7740004,187.59,157.858,154.914,53.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.1219994,196.174,157.074,155.588,26.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.9559998,200.87,162.802,204.486,191.466,166.136,0.0,0.0,0.0,0.0,89.7139996,191.056,256.42,98.2799996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.606,185.784,168.242,176.824,114.418,0.0,0.0,33.0,218.491998,284.098,566.173988,208.622002,86.0799996,199.114,178.366,149.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.934,203.004,155.756,172.102,114.384,0.0,0.0,0.0,aaab
2012-11-27,10.8440002,194.114,202.4860002,214.516,48.8500002,189.506,270.188,35.282,0.0,0.0,0.0,0.0,90.806,324.684,247.438,34.406,0.0,0.0,0.0,0.0,80.238,309.0,232.536,36.968,0.0,0.0,131.324,315.340002,573.991992,578.649988,570.881994,586.974,584.44801,570.21599,581.00199,574.37599,598.193994,572.825988,585.688012,578.663988,600.315992,594.936,606.795984,610.342004,617.156006,628.653994,626.802002,610.930002,579.057996,553.773998,558.276002,552.524012,544.78601,549.728014,571.376014,586.492006,585.368004,603.43401,622.870006,619.017994,616.952002,601.282006,630.95,615.218018,533.250008,518.287998,533.44,535.488,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,470.318,193.282,181.942,166.59,156.902,0.0,0.0,0.0,0.0,0.0,bccc
2012-12-15,137.8060006,199.424,174.718,185.022,29.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6179998,205.184,171.22,186.564,97.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.782,206.06,170.854,189.728,174.32,95.902,0.0,0.0,0.0,0.0,86.9700002,179.7999998,222.306,114.9960002,181.692,203.268,197.378,179.32,28.668,0.0,0.0,0.0,125.5399996,122.602,0.0,0.0,0.0,0.0,10.8339996,190.0,40.644,0.0,0.0,0.0,0.0,136.7260002,207.572,199.598,139.436,0.0,14.0759994,255.534,197.152,190.114,18.0619996,62.744,238.93,223.356,224.402,225.468,208.682,17.8440002,0.0,0.0,0.0,57.2559998,315.518,299.002,233.744,37.676,0.0,0.0,0.0,0.0,194.9760002,297.994,219.574,268.238,216.812,201.612,198.9,199.018,abab
2012-12-16,198.962,119.526,0.0,0.0,0.0,219.162,305.794,259.094,203.2,179.482,35.418,0.0,0.0,59.5059998,315.312,207.17,194.958,183.066,182.644,262.206,218.412,185.624,202.824,208.64,79.338,0.0,0.0,65.1200004,312.738,233.112,232.79,206.982,198.638,199.9,206.462,207.992,206.2,209.062,198.53,198.468,210.408,238.254,226.95,218.144,216.956,226.624,190.5,155.468,0.0,126.15,230.162,196.162,206.688,76.336,22.224,276.044,225.794,225.824,185.508,185.9,190.376,202.686,198.77,198.806,198.618,189.288,190.488,191.538,181.832,176.422,181.86,186.956,179.254,196.008,125.412,0.0,0.0,0.0,0.0,0.0,93.8540002,202.59,169.468,185.094,132.27,0.0,0.0,0.0,0.0,0.0,0.0,48.4160006,189.176,223.658,154.096,90.9739996,bbba
2012-12-18,113.28,165.544,187.518,266.99,204.842,34.932,0.0,0.0,0.0,14.6240006,301.224,251.68,217.452,163.698,61.512,0.0,0.0,0.0,0.0,286.262,268.75,223.902,64.114,0.0,0.0,0.0,20.456,301.756,317.432,305.244,320.082,318.208,320.244,320.25,235.8199998,204.67,282.426,467.230002,509.328008,510.083998,485.870002,464.982002,465.264,466.666002,457.919996,446.201998,460.736004,453.244,430.033998,390.54,379.814006,367.506,352.196002,331.834004,257.684,264.486,263.05,267.2,261.5,251.546,247.462,252.244,255.88,264.218,243.792,257.794,238.164,115.8499998,168.166,188.482,110.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bcba
2012-12-19,0.0,0.0,0.0,0.0,0.0,0.0,36.172,203.438,162.578,91.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.896,206.814,157.392,29.146,0.0,0.0,0.0,0.0,51.9000006,214.186,306.59,320.5,315.882,376.201994,452.62,403.138,411.007998,392.738006,398.644,411.90199,421.062004,398.619996,406.063996,413.914,409.278002,418.991998,417.015998,387.396004,382.482002,381.461998,388.053998,367.429994,356.430006,303.138,283.27,263.9,258.324,288.204,284.248,318.288,367.220002,449.411994,369.849996,362.567998,310.904004,251.038,145.8759998,170.266,205.898,200.772,201.16,72.522,0.0,0.0,0.0,0.0,0.0,50.8239998,204.276,175.592,194.632,99.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abca
