,ClusterNo2,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
20,1,2012-12-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,54.76399984999999,207.566,248.0024995,286.374,312.4455,310.9855,284.52,282.49649999999997,272.0655,283.031,218.21450000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1,2012-12-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,131.7875,92.4020001,430.460503,404.362501,389.911998,335.5625,323.1495024999999,265.356,256.67100000000005,259.772,182.5255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,2012-12-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.94000054999998,378.076,352.03849950000006,339.04350250000005,311.405501,277.41400000000004,281.33950000000004,298.166,300.7875,193.5105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,2012-12-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,123.60699985000001,79.8524993,299.63300000000004,274.99300000000005,393.8945005,414.0945010000001,336.05249749999996,286.661,279.08500000000004,268.156,195.71900004999998,58.71549999999999,0.0,0.0,0.0,0.0,0.0,0.0
24,1,2012-12-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,133.16700005,75.0565002,388.41949950000003,367.94450100000006,361.2409975,356.121999,274.6745005,240.1795,258.8565,251.3795,147.26399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1,2012-12-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,128.55450005,78.0305,408.74499949999995,376.5260015,371.2445035,334.984502,280.81199999999995,271.06300000000005,280.7425,274.57800000000003,163.44099999999997,0.0,0.0,72.494,57.387,0.0,0.0,0.0
26,1,2012-12-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0234984,422.5930005,407.840002,396.55999699999995,394.138502,362.60799899999995,191.50249990000003,332.624001,322.52999950000003,108.67949999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1,2013-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,131.05999995000002,75.46600015,376.7135005,359.55899900000003,369.5675,377.61,344.9965025,306.66150000000005,301.07500000000005,303.5935,201.00699999999998,0.0,66.42049994999999,82.81200000000001,0.0,0.0,0.0,0.0
28,1,2013-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,133.14800005,82.46600015,418.2925015,392.976495,381.811502,391.54000199999996,308.2040005,294.69,288.3715,285.35,201.48750040000002,71.7555,0.0,0.0,0.0,0.0,0.0,0.0
29,1,2013-02-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,137.7745,220.60899995000003,360.8765005,407.5179975,410.5685005,425.1649995,315.947001,314.12850000000003,300.757,290.18050000000005,201.35149995,87.281,0.0,0.0,0.0,138.72299995,0.0,0.0
30,1,2013-02-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,31.1095,231.95450000000002,357.908,386.2895,386.48499849999996,392.255,374.4635005,334.111999,322.2359995,271.78099999999995,198.46100009999998,62.098000000000006,0.0,0.0,90.75650000000002,52.956,0.0,0.0
31,1,2013-02-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,34.5395001,209.4715,285.0695,302.36350000000004,301.1175,305.7715,267.9255,253.23399999999998,257.00250000000005,266.8085,188.0785,90.368,0.0,0.0,0.0,0.0,0.0,0.0
32,1,2013-04-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,91.62150025,219.80450000000002,389.02649900000006,446.34300199999996,449.840503,403.4580025,274.26200000000006,226.72499999999997,245.588,254.486,101.74850015000001,47.581,0.0,0.0,0.0,0.0,0.0,0.0
33,1,2013-04-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,127.58500015,194.64599994999998,249.46749999999997,205.94,204.8535,203.61700000000002,204.4315,204.10549999999998,205.2835,205.145,171.295,0.0,0.0,119.03050000000002,27.0375,0.0,0.0,0.0
34,1,2013-04-20 00:00:00,164.917,25.3175,0.0,122.3895,63.0935,0.0,56.6335,125.9425,255.77500000000003,343.716501,299.08000000000004,249.9495,273.04900000000004,257.6475,264.2115,244.16300000000004,153.7999998,0.0,0.0,0.0,108.14650005000001,134.8245,0.0,53.54749985
35,1,2013-05-24 00:00:00,144.74,0.0,2.8205,193.77949999999998,8.1335,0.0,134.242,73.5085,250.20650055,208.19150005,189.8735,195.05049999999997,197.70100000000002,203.311,198.62800000000001,196.19350000000003,147.322,7.2905,87.325,78.35500005000002,137.643,0.0,94.96100000000001,94.03049999999999
